objective,explanation,lecture_id,include,category,exam,system
Appreciate the orientation of the orbit and axis of movement of the globe,,Y2S2,n,,,
Appreciate the connective tissue that fill the orbit,,Y2S2,n,,,
Appreciate the muscles that move the eyelid(s),,Y2S2,n,,,
Identify the 6 extraocular eye muscles and understand their neural innervation,,Y2S2,n,,,
Appreciate the isolated actions of each of the extraocular eye muscles,,Y2S2,n,,,
Understand the anatomical basis for the double H test and testing the extraocular eye muscles,,Y2S2,n,,,
"Recognize the key features of 3rd, 4th, or 6th nerve palsy",,Y2S2,n,,,
Describe erythropoiesis,,Y2S2,n,,,
Define anaemia,,Y2S2,n,,,
Outline the underlying causes of anaemia,,Y2S2,n,,,
Identify signs of anaemia,,Y2S2,n,,,
Describe the classification of anaemia,,Y2S2,n,,,
Describe the lab diagnosis of anaemia,,Y2S2,n,,,
Outline the underlying cause of haematological malignancies,,Y2S2,n,,,
Explain terminology used for haematological malignancies,,Y2S2,n,,,
Identify common presenting signs and symptoms,,Y2S2,n,,,
Distinguish between leukemias and lymphomas,,Y2S2,n,,,
Outline investigations for diagnosis of haematological malignancies,,Y2S2,n,,,
Name common haematological malignancies and their risk factors,,Y2S2,n,,,
Identify approaches to management of haematological malignancies,,Y2S2,n,,,
Consolidate your knowledge on symptoms and main causes/types of anaemia,,Y2S2,n,,,
"Discuss how deficiencies in iron, Vitamin B12 and folic acid affect anaemia",,Y2S2,n,,,
Explain main treatments for anaemia including routes of administration and side effects,,Y2S2,n,,,
Distinguish megaloblastic anaemia caused by B12 and folic acid deficiencies and their treatments or consequences,,Y2S2,n,,,
Explain the concept of vaccination and how vaccination relates to immunisation,,Y2S2,n,,,
"Describe different types of vaccines, why they are needed and how they work",,Y2S2,n,,,
Describe the national vaccination schedule across the lifespan and give examples of the consequences of less than optimal vaccination rates,,Y2S2,n,,,
Describe the process by which vaccination is handled in primary care and describe the approach taken to handling the concerns parents may have about the vaccination of their children,,Y2S2,n,,,
Identify the role of vaccination in addressing global challenges like emerging and re-emerging diseases,,Y2S2,n,,,
Describe the key components of managing outbreaks of vaccine-preventable diseases,,Y2S2,n,,,
Identify the barriers and enablers of vaccination in LMICs and conflict-affected areas,,Y2S2,n,,,
Analyse key concepts in the study of primary immunodeficiency and examine how diverse genetic mutations leads to diverse clinical outcomes,,Y2S2,n,,,
"Compare and contrast the genes, clinical outcomes, and treatments associated with immunodeficiencies of innate immunity",,Y2S2,n,,,
Dissect the different mechanisms resulting in Severe Combined Immunodeficiency (SCID) and explain how they influence lymphocyte development,,Y2S2,n,,,
"Compare and contrast the genes, clinical outcomes, and treatments involved in deficiencies of lymphocyte activation",,Y2S2,n,,,
Define the concept of hypersensitivities and analyse in detail the immunological mechanisms that drive Type I hypersensitivity,,Y2S2,n,,,
Assess the immunological and environmental factors that regulate Type I hypersensitivity and discuss how these can be used in immunotherapy,,Y2S2,n,,,
Appraise the immunological mechanisms that drive the IgG-mediated hypersensitivities (Type II and Type III),,Y2S2,n,,,
Describe the immunological mechanisms that underlie T cell mediated hypersensitivity (Type IV),,Y2S2,n,,,
Define the genetically induced changes that are the hallmarks of cancer,,Y2S2,n,,,
"Introduce the cancers that arise in immune cells, and compare and contrast to the pathogenesis of chronic lymphocyte leukaemia and acute lymphoblastic leukaemia",,Y2S2,n,,,
Outline the effector mechanisms by which the immune system fights cancer and analyse the concepts of immune surveillance and immune evasion,,Y2S2,n,,,
Describe anthropogenic climate change and the consensus evidence which supports it,,Y2S2,n,,,
Discuss the specific direct and indirect impacts of climate change on the population,,Y2S2,n,,,
Explain the relationship between climate change and health inequity,,Y2S2,n,,,
Describe the international agreements which aim to address the impacts of climate change on human health,,Y2S2,n,,,
Explain the key components involved in preparing for climate events/disasters,,Y2S2,n,,,
Discuss how the medical profession can respond to climate change,,Y2S2,n,,,
Discuss key concepts in autoimmunity and immunological tolerance,,Y2S2,n,,,
Analyse the relative contributions of genetics and environment to the failure of tolerance and the generation of autoimmunity,,Y2S2,n,,,
Compare and contrast two T cell-driven autoimmunities: Type I diabetes and Rheumatoid arthritis,,Y2S2,n,,,
"Distinguish the immunological mechanisms that drive the B cell driven autoimmunities of SLE, Myasthenia Gravis and Graves’ Disease",,Y2S2,n,,,
Review the structure and function of antibodies and outline the humoral immune response,,Y2S2,n,,,
Introduce the concept of monoclonal antibodies and analyse the use of antibodies as tools in immunodiagnosis,,Y2S2,n,,,
Assess the use of monoclonal antibodies to treat disorders of the immune system,,Y2S2,n,,,
Analyse the use of monoclonal antibodies in targeting checkpoint inhibitors to promote T cell immunity to cancer,,Y2S2,n,,,
Describe the pharmacology of major classes of immunosuppressant and immunomodulatory drugs,,Y2S2,n,,,
Discuss the major uses of immunomodulatory/stimulant drugs,,Y2S2,n,,,
"Describe the relationship of the pharynx to the nasal cavity, oral cavity, larynx, orbit, and middle ear",,Y2S2,n,,,
Describe the muscles of the pharynx and their role in the passage of food,,Y2S2,n,,,
"Explain how the features within, and the overall structure of, the nasal cavity and nasopharynx contribute to its primary functions",,Y2S2,n,,,
"Explain how the features within, and the overall structure of, the oral cavity and oropharynx contribute to its primary functions",,Y2S2,n,,,
"Explain how the features within, and the overall structure of, the larynx and laryngopharynx contribute to its primary functions",,Y2S2,n,,,
Review the bony landmarks that create the infratemporal fossa,,Y2S2,n,,,
Identify the muscles of mastication and explain them using their action and innervation,,Y2S2,n,,,
